968,10468
969,10252
970,10764
971,10495
972,10570
973,11712
974,11990
975,10208
976,9973
977,10337
978,11583
979,10707
980,11523
981,10557
982,10389
983,10186
984,10792
985,10805
986,10852
987,10819
988,10689
989,10392
990,11455
991,11843
992,10435
993,11528
994,11116
995,12624
996,11397
997,10829
998,11354
999,11352
1000,11205
1001,10692
1002,12011
1003,10878
1004,10980
1005,12368
1006,11366
1007,10607
1008,11734
1009,10909
1010,10618
1011,11813
1012,11808
1013,10785
1014,11277
1015,11225
1016,10909
1017,11180
1018,12772
1019,11030
1020,11202
1021,10682
1022,13795
1023,10790
1024,11291
1025,10699
1026,10413
1027,12519
1028,10927
1029,10496
1030,13498
1031,11865
1032,10999
1033,12084
1034,12152
1035,12778
1036,11921
1037,11732
1038,13150
1039,11567
1040,11915
1041,10736
1042,12421
1043,11418
1044,12784
1045,12635
1046,12829
1047,12152
1048,12408
1049,10743
1050,12205
1051,12546
1052,11422
1053,11306
1054,11434
1055,11570
1056,11133
1057,11186
1058,11303
1059,12154
1060,11268
1061,11194
1062,12312
1063,12284
1064,12496
1065,11519
1066,11902
1067,11679
1068,12780
1069,12397
1070,12961
1071,13681
1072,12195
1073,11167
1074,12415
1075,12329
1076,12885
1077,11868
1078,10982
1079,12137
1080,13888
1081,13967
1082,12700
1083,14022
1084,11867
1085,13408
1086,13216
1087,12485
1088,12479
1089,13093
1090,13012
1091,12211
1092,12291
1093,12747
1094,11565
1095,12413
1096,12387
1097,12601
1098,11949
1099,12611
1100,14385
1101,12147
1102,12521
1103,11612
1104,12256
1105,11836
1106,11838
1107,13149
1108,12089
1109,11799
1110,13484
1111,12563
1112,12288
1113,11388
1114,13454
1115,12428
1116,12234
1117,12444
1118,12861
1119,13116
1120,11611
1121,12346
1122,11934
1123,13752
1124,13596
1125,12681
1126,12962
1127,12570
1128,13342
1129,14369
1130,12216
1131,12541
1132,11719
1133,12468
1134,12264
1135,13020
1136,12025
1137,13117
1138,13325
1139,12514
1140,13131
1141,13396
1142,14129
1143,13290
1144,12017
1145,12514
1146,12928
1147,13286
1148,12535
1149,14651
1150,13665
1151,12234
1152,13032
1153,12713
1154,13229
1155,14023
1156,13528
1157,12628
1158,13004
1159,13579
1160,13828
1161,13342
1162,13651
1163,14226
1164,12737
1165,13336
1166,13616
1167,13078
1168,14204
1169,13863
1170,13916
1171,12550
1172,12596
1173,12986
1174,12812
1175,12287
1176,15250
1177,13059
1178,13444
1179,13511
1180,12638
1181,12568
1182,13637
1183,13042
1184,13552
1185,13389
1186,13759
1187,13748
1188,14152
1189,14260
1190,12985
1191,13586
1192,14901
1193,14159
1194,13163
1195,13316
1196,14574
1197,13183
1198,13472
1199,13291
1200,13373
1201,13980
1202,13545
1203,12974
1204,16272
1205,14429
1206,14752
1207,13109
1208,12915
1209,13275
1210,14024
1211,13536
1212,13660
1213,14363
1214,14079
1215,14003
1216,13312
1217,14063
1218,14737
1219,14143
1220,15099
1221,13909
1222,16322
1223,13790
1224,15182
1225,13463
1226,13922
1227,13516
1228,13511
1229,13674
1230,15559
1231,15579
1232,14952
1233,15049
1234,15023
1235,13997
1236,14816
1237,13939
1238,14347
1239,15254
1240,15817
1241,14717
1242,13753
1243,14962
1244,15435
1245,14319
1246,14165
1247,14208
1248,15022
1249,16479
1250,14430
1251,13429
1252,13598
1253,13701
1254,14494
1255,14397
1256,15344
1257,13506
1258,14663
1259,15116
1260,15153
1261,14126
1262,15010
1263,14380
1264,13735
1265,14263
1266,15207
1267,14859
1268,14150
1269,15170
1270,14647
1271,14613
1272,14168
1273,15199
1274,16022
1275,15229
1276,15614
1277,15330
1278,14018
1279,16635
1280,13454
1281,14669
1282,15513
1283,16536
1284,16113
1285,15407
1286,14462
1287,15685
1288,16021
1289,13815
1290,15276
1291,14916
1292,14932
1293,14530
1294,17427
1295,15097
1296,14271
1297,14338
1298,14438
1299,14355
1300,15590
1301,14773
1302,15021
1303,15359
1304,14438
1305,14732
1306,14413
1307,15723
1308,15698
1309,15456
1310,13806
1311,16299
1312,16692
1313,15700
1314,14537
1315,14776
1316,15210
1317,16742
1318,14660
1319,14698
1320,17293
1321,14919
1322,14714
1323,16041
1324,17655
1325,17056
1326,14781
1327,18463
1328,17200
1329,14249
1330,15554
1331,15201
1332,15495
1333,14801
1334,17185
1335,14641
1336,15312
1337,16049
1338,15516
1339,14864
1340,15396
1341,15910
1342,15406
1343,14437
1344,14981
1345,16467
1346,16724
1347,16771
1348,15805
1349,14808
1350,15364
1351,15055
1352,16106
1353,16377
1354,16723
1355,16560
1356,17194
1357,15295
1358,15420
1359,15457
1360,15948
1361,18333
1362,14960
1363,16951
1364,15993
1365,14721
1366,17956
1367,15786
1368,17851
1369,15222
1370,16335
1371,16099
1372,16430
1373,15478
1374,17573
1375,16854
1376,20079
1377,18817
1378,15822
1379,18281
1380,17168
1381,15199
1382,15794
1383,16681
1384,15389
1385,15797
1386,15746
1387,15060
1388,16918
1389,16042
1390,18901
1391,16011
1392,16306
1393,16028
1394,16069
1395,15876
1396,16119
1397,17781
1398,16521
1399,15522
1400,16265
1401,15198
1402,15639
1403,16032
1404,15623
1405,17647
1406,15449
1407,15959
1408,16418
1409,15515
1410,18282
1411,15604
1412,16133
1413,16939
1414,17644
1415,17822
1416,15702
1417,17829
1418,15856
1419,18742
1420,16111
1421,16565
1422,17683
1423,16673
1424,17231
1425,16662
1426,15757
1427,17111
1428,17845
1429,15790
1430,17104
1431,16603
1432,16325
1433,17554
1434,15654
1435,16539
1436,15774
1437,16264
1438,17481
1439,18465
1440,16916
1441,16730
1442,17100
1443,16824
1444,17841
1445,19214
1446,18293
1447,17857
1448,17716
1449,17134
1450,16265
1451,17378
1452,16717
1453,21948
1454,17588
1455,17004
1456,16391
1457,17452
1458,16691
1459,16117
1460,16925
1461,16178
1462,16794
1463,18604
1464,18087
1465,18130
1466,17580
1467,17731
1468,18581
1469,17760
1470,17726
1471,17145
1472,16809
1473,18915
1474,16481
1475,17911
1476,17722
1477,19635
1478,17759
1479,17621
1480,17190
1481,17942
1482,16745
1483,16919
1484,17100
1485,19282
1486,17574
1487,17265
1488,17879
1489,18511
1490,17576
1491,20303
1492,19341
1493,18318
1494,16971
1495,17609
1496,19182
1497,19230
1498,17468
1499,18057
1500,17517
1501,18814
1502,19645
1503,18919
1504,18122
1505,17913
1506,19244
1507,18025
1508,16996
1509,17698
1510,20855
1511,18163
1512,17926
1513,18452
1514,17227
1515,18809
1516,18844
1517,17964
1518,17572
1519,17437
1520,18496
1521,18651
1522,18475
1523,18705
1524,19270
1525,18970
1526,18078
1527,18175
1528,16980
1529,18535
1530,19061
1531,18102
1532,18521
1533,18576
1534,18208
1535,18442
1536,18225
1537,18180
1538,17556
1539,20941
1540,17733
1541,19586
1542,17927
1543,17357
1544,18603
1545,19047
1546,18201
1547,20186
1548,18552
1549,18870
1550,17979
1551,18832
1552,17798
1553,17368
1554,19209
1555,18921
1556,18663
1557,17477
1558,19646
1559,18818
1560,22262
1561,18863
1562,18096
1563,18635
1564,18597
1565,17330
1566,17349
1567,19209
1568,17706
1569,18453
1570,18746
1571,19239
1572,19712
1573,17557
1574,18865
1575,18318
1576,20462
1577,19694
1578,21298
1579,18760
1580,20261
1581,22042
1582,19453
1583,19375
1584,20234
